carat,x,y,z,price,volume,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
1.03,6.46,6.43,4.05,8.469,168.22808999999998,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6,5.38,5.37,3.32,7.406,95.91679199999999,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,5.64,5.67,3.56,7.73,113.84452799999998,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1.1,6.59,6.67,4.07,9.133,178.89807100000002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.3,4.36,4.32,2.66,6.594,50.101632000000016,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.78,5.82,5.7,3.68,7.777,122.08032,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.13,6.87,6.79,4.05,9.09,188.921565,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.56,5.24,5.26,3.27,7.364,90.129048,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.77,5.9,5.85,3.68,7.834,127.01520000000001,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.51,5.12,5.08,3.21,7.072,83.49081600000001,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2.09,8.51,8.46,4.85,9.357,349.17381,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.36,4.55,4.52,2.85,6.959,58.613099999999996,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.26,7.0,6.98,4.27,9.568,208.63219999999998,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.33,4.45,4.43,2.74,6.918,54.014990000000004,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.51,5.07,5.11,3.23,6.974,83.681871,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.31,4.32,4.27,2.7,6.687,49.80528,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.71,5.73,5.76,3.49,7.726,115.18675200000001,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.35,4.56,4.5,2.77,6.669,56.8404,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.31,4.37,4.39,2.68,6.649,51.413924,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.3,4.3,4.27,2.64,6.41,48.47304,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.54,5.25,5.23,3.24,7.621,88.96230000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.38,4.66,4.69,2.87,6.515,62.724998000000014,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.08,6.64,6.61,4.04,9.231,177.317216,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1.28,6.97,7.01,4.31,9.078,210.58530699999997,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.08,6.58,6.55,4.06,8.585,174.98193999999998,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.5,7.29,7.19,4.55,9.131,238.488705,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.39,4.69,4.73,2.89,6.962,64.11089300000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.01,6.34,6.44,4.0,8.382,163.3184,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.9,6.18,6.11,3.82,8.436,144.242436,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.84,8.01,7.98,4.77,9.54,304.897446,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.79,6.08,6.06,3.59,7.696,132.272832,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.61,7.46,7.57,4.58,9.287,258.642676,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.12,6.79,6.68,4.1,9.119,185.96452,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.31,4.4,4.43,2.7,6.574,52.628400000000006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.31,4.35,4.4,2.67,6.465,51.1038,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.22,6.8,6.75,4.26,8.639,195.534,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.7,5.6,5.63,3.53,7.86,111.29383999999999,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.07,6.57,6.53,4.05,8.443,173.75350500000002,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.33,4.45,4.48,2.74,6.55,54.624640000000014,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,4.78,4.74,2.89,7.188,65.47930800000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,5.01,5.07,3.19,7.27,81.028233,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.5,5.2,5.12,3.02,6.865,80.40448,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.56,5.3,5.33,3.26,7.154,92.09173999999999,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.41,4.87,4.84,2.9,7.071,68.35531999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.03,6.6,6.58,3.85,8.098,167.1978,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.54,5.22,5.2,3.26,7.508,88.48943999999999,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.3,4.33,4.31,2.64,6.654,49.268471999999996,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9,6.11,6.02,3.82,8.236,140.50800399999997,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.61,5.46,5.49,3.34,7.245,100.117836,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.26,6.86,6.9,4.28,8.655,202.58952000000002,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1.22,7.02,6.96,4.12,8.893,201.29990399999997,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.4,4.77,4.81,2.84,6.816,65.16010799999998,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.34,4.49,4.52,2.76,6.118,56.01364799999999,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.0,6.51,6.46,3.92,8.514,164.854032,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.58,7.55,7.5,4.59,9.515,259.90875,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.01,8.27,8.2,4.93,9.748,334.32301999999993,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.32,4.42,4.46,2.71,6.631,53.422772,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,8.09,8.12,4.93,9.476,323.855644,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1.27,6.94,6.98,4.3,9.379,208.29716000000002,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.5,7.2,7.16,4.55,9.302,234.5616,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.5,5.16,5.13,3.13,7.093,82.853604,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.51,7.4,7.37,4.51,9.029,245.96638000000002,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.62,5.51,5.46,3.41,7.508,102.588486,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.68,7.83,7.72,4.6,8.943,278.05895999999996,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.52,5.21,5.24,3.22,7.451,87.90728800000001,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.01,6.38,6.34,4.03,8.518,163.010276,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1.28,6.96,6.99,4.28,8.681,208.22371200000003,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.5,5.11,5.14,3.16,7.394,82.998664,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.66,5.67,5.72,3.44,7.701,111.567456,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.01,6.37,6.43,4.01,8.726,164.24599099999998,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.31,4.34,4.37,2.7,6.299,51.207660000000004,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.31,4.38,4.44,2.65,7.052,51.53508000000001,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.58,5.33,5.38,3.3,7.911,94.62881999999999,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.4,4.69,4.66,2.95,6.782,64.47343000000001,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9,6.15,6.19,3.83,8.62,145.80235500000003,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.5,7.32,7.27,4.53,9.079,241.07029200000002,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.17,6.72,6.77,4.16,9.204,189.256704,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.5,7.28,7.32,4.47,9.705,238.20451200000002,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9,6.14,6.2,3.81,8.307,145.03907999999998,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.72,5.76,5.72,3.52,8.054,115.97414399999998,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.71,5.77,5.82,3.5,8.05,117.53490000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.56,7.39,7.46,4.63,8.963,255.24912199999997,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.71,5.64,5.7,3.58,7.853,115.08984,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0.52,5.19,5.22,3.18,7.656,86.15192400000001,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.71,5.61,5.65,3.61,7.597,114.42436500000001,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1.11,6.62,6.67,4.11,8.457,181.47869400000002,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.27,6.93,6.85,4.29,8.646,203.64844499999998,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.24,3.95,4.01,2.51,6.163,39.757144999999994,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.05,6.44,6.48,4.07,8.333,169.84598400000004,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1.01,6.34,6.39,3.98,8.354,161.240148,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.7,5.71,5.68,3.52,7.706,114.163456,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.42,4.81,4.85,2.94,6.865,68.58578999999999,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.34,4.51,4.56,2.77,6.621,56.96671199999999,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.11,6.72,6.68,4.1,8.586,184.04735999999997,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.65,7.49,7.62,4.65,8.98,265.39317000000005,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.81,5.87,5.9,3.74,8.04,129.52742,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.81,5.97,6.04,3.71,8.325,133.778148,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.47,6.98,6.94,4.64,8.497,224.76716800000003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.08,8.24,8.16,5.02,9.637,337.53676799999994,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.55,7.41,7.35,4.62,9.131,251.62136999999998,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.32,4.42,4.45,2.72,6.658,53.499680000000005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.55,5.28,5.24,3.26,7.447,90.195072,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,4.3,4.27,2.64,6.227,48.47304,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.56,7.55,7.59,4.51,8.912,258.443295,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7,5.69,5.72,3.48,7.99,113.262864,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.3,4.28,4.31,2.64,6.461,48.699552000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.33,4.49,4.47,2.69,6.611,53.989107,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.72,5.79,5.74,3.56,7.662,118.31517600000001,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.7,5.8,5.74,3.42,7.822,113.85864000000001,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.04,6.39,6.48,4.01,9.011,166.04287200000002,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.34,4.46,4.5,2.83,6.286,56.798100000000005,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.02,6.37,6.4,3.96,8.476,161.44128,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.31,4.31,4.33,2.74,6.299,51.134702,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.12,6.69,6.66,4.11,8.773,183.12269400000005,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.0,6.3,6.37,3.92,8.508,157.31352,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.33,4.4,4.42,2.74,6.501,53.28752000000001,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.55,5.28,5.22,3.26,7.186,89.850816,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.2,6.85,6.81,4.19,8.799,195.457215,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.51,7.32,7.3,4.5,9.282,240.462,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.54,5.21,5.28,3.21,7.442,88.303248,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.32,4.39,4.35,2.68,6.474,51.17861999999999,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.33,4.49,4.43,2.74,6.75,54.500518,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.54,5.19,5.22,3.23,7.593,87.506514,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.3,4.31,4.34,2.67,6.849,49.943417999999994,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.31,4.38,4.36,2.66,6.142,50.79748800000001,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.41,4.86,4.9,2.83,6.792,67.39362000000001,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.72,5.72,5.76,3.57,7.807,117.62150399999997,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.43,4.86,4.89,3.0,7.169,71.2962,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.9,6.23,6.3,3.83,8.267,150.32367000000002,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.3,4.14,4.18,2.77,6.373,47.935404,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.01,6.41,6.38,3.99,8.717,163.17424200000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.5,7.34,7.28,4.54,8.868,242.595808,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.56,5.38,5.33,3.27,7.53,93.768558,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.33,4.41,4.44,2.76,6.41,54.041903999999995,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,5.04,5.0,3.17,7.447,79.884,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.2,6.75,6.69,4.23,8.695,191.01622500000005,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.7,5.62,5.67,3.51,7.672,111.847554,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.38,4.68,4.64,2.91,6.906,63.19123199999999,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.43,4.87,4.82,2.98,6.97,69.950732,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42,4.79,4.81,2.98,7.19,68.658902,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.31,4.36,4.34,2.69,6.771,50.901256,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.04,6.44,6.5,4.03,8.338,168.69580000000002,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1.26,6.92,6.96,4.27,9.056,205.65686399999996,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.3,4.29,4.33,2.68,6.314,49.78287600000001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.56,7.47,7.43,4.58,9.406,254.199618,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.43,4.87,4.84,2.96,6.875,69.76956799999999,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.5,5.12,5.19,3.07,7.102,81.578496,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.27,4.13,4.15,2.6,6.339,44.56270000000001,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.78,5.85,5.91,3.66,8.207,126.53900999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.53,5.14,5.18,3.26,7.482,86.79815199999999,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.06,6.49,6.53,4.04,8.515,171.213988,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
